,Unnamed: 0,Title,Company,Location,Link,Review,Salary,job description
0,0,Project Engineer,Qualified Staffing,None,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CuHctNuFElMBHdQUBd6tkAsPlH7nnMoxjz-rMioF3uHC4FkF9KghhaXpHNGAZY0WFROwYGiTaIJpF0KJffCXUh__7OWBwtKWJWUbre9YWNEwWvlejh3KGKXpGKdDg0NJCidP0gsLmleD-a3Sl5gxGTgaSbGvZS2tZiPQMWSBrF_1tqsjIy7lBXRX6DrMrj1sCrGhqnA-V-2-VNw_6okad8px1cN8e59hXFwu6S185rGk_vZDjLBIuc6UcWfxBrn7nJiqR2_RD-RtX8NXlHCMtx25qL71ekrs4g9PJJ00tpC4d5aw0GNrdAqPxBTtvRR9n6u261tUo6--sAUw_Z0TXpOe0xRBxhUyxkdX-oIdaGvZyb6mG3XGdHkd1xNykR9inWus2yGlwgXENcK6IDnPXqYwrD1EEBmvJPY6cWlOKPGBgEdL-UGgMulOB104DGApvwgQqoxiXkWxSlYKiE4kmOUb-SLwIkvtBPSi1wMhHib9fRKFq6KACTmOIhwZDUCGkwUD_eubplZfBxFon0DmFqcKqdCHi5AeA8T7ZyOOQRqfzlO50yvfan1B5tpIjPxfhsuCMx25_9DjjI5vtunMu_yCJGuQflXKZR1hCsu7QFlIK5_RWJG8_plrmWt0Fi3SB5837AKJGlWjYlT4oPo_yHZ7JTmnB57Njt7ELcNtynoZe2m3LKEmhQGlmdLmwH_MBR7rzKFis7L-B82DZPpk2w4XR8vERScZIQPkh0Qjn2yArvARJH-QUWE27-13uNK5h_d3ooNpi3PoNMipH_PKjz&p=0&fvj=0&vjs=3,3.4,"$68,000 - $73,000 a year","We are seeking a Project Engineer for a full-time opportunity in Oxford.

Starting Salary - $68-73K/yr plus bonuses

Job Summary:
The Project Engineer handles all aspects of design, development and project management for a diverse line of mechanical components and products. This includes customer and supplier interface, competitive product analysis, test definition, data analysis, prototype development, product validation, program leadership and manufacturing development. The Project Engineer will own every aspect of their project and product line from opportunity identification through the entire lifecycle. This position requires constant interfacing with all aspect of the organization including Sales, Operations, Quality and Procurement. This position requires a combination of Design Engineering and Project management skills.

Essential Functions:
1) Leads projects from Design and Development to Manufacturing Release by creation of project plans and timelines, communicating progress of project, overcoming roadblocks, and design validation testing.
2) Work along side Manufacturing and Quality in the project design phase and during handoff to ensure a smooth transition.
3) Work along side Manufacturing and Quality to improve product design and/or process improvements.
4) Manage Engineering Change Requests within assigned product lines.
5) Be the Technical Expert in assigned product lines.
6) Regularly interface with sales to identify new opportunities and keep updated on current projects. Attend trade shows when appropriate; keep up to date with industry trends.
7) Use a scientific approach to problem solving including design analysis, engineering calculations and statistics.
8) Researches and analyze design proposals and other data to evaluate the feasibility, cost, and assembly requirements of designs or applications.
9) Specifies system components or direct modification of products to ensure conformance with engineering design and performance specifications
10) Prepares product reports by collecting, analyzing, and summarizing information and trends
11) Investigates and resolves product issues. Determines non-conforming modes and issues corrective action reports to resolve them.
12) Communicates effectively with internal and external customers and responds promptly to their inquiries.
13) Meets internal and external customers deadlines as scheduled

Additional Responsibilities:
1) Performs other duties as assigned

Qualifications:
1) Bachelor degree in Mechanical Engineering with a minimum of 5 years’ experience.
2) Experience in New Product Development with a History of managing successful product launches on time and within budget.
3) Experience reading and interpreting standards such as ASME, ASTM, ISO, SAE etc.
4) Strong work ethic, ability to work independently, as a team member and a team leader
5) Highly motivated, self-starter
6) Excellent writing, presentation, communication and organizational skills
7) The ability to work under pressure
8) The ability to prioritize and plan effectively
9) Good problem-solving skills and a creative approach for new ideas
10) A high level of computer literacy, particularly computer-aided design
11) Solidworks proficiency a Plus
12) PMP certification a plus.
13) 6 Sigma Black or Green belt a plus."
1,1,Mechanical Engineer,"SS White Technologies, Inc.","Saint Petersburg, FL 33709",https://www.indeed.com/rc/clk?jk=31995d4a461019c0&fccid=af3192ab9488de5c&vjs=3,None,"$45,000 - $70,000 a year","Job Description
Mechanical Engineer
Company: S.S. White Technologies Inc.
Location: 8300 Sheen Drive, St. Petersburg, FL 33709
Job Type: Full-time, Regular
Business Hours: 8:00 AM - 4:30 PM, Monday - Friday
Career Level: 2+ Years of Experience
Salary Range: Commensurate with Experience
Our Products: Flexible Shaft, Flexible Shaft Applications
Responsibilities
Read and interpret blueprints, technical drawings, schematics, and computer-generated reports
Research, design and evaluate mechanical products, equipment, systems or processes to meet customer requirements
Implement operating procedures, resolve system malfunctions, and provide technical information about mechanical products
Develop and coordinate all aspects of production, including selection of manufacturing methods, creating inspection plans, writing work instructions etc.
Identify gaps in the processes, perform root cause analysis and place corrective actions
Qualifications
Excellent academic record
Keen interest and understanding in the basics of product design and mechanics
Training in CAD software with some exposure to FEA
Good knowledge of principles of statistics
Excellent verbal and written communication skills
Demonstrable ability to be ‘hands-on’
Excellent computer skills with exposure to database/VB programming a plus
BS, MS, or PhD in Mechanical Engineering
Candidates who like to read, have interest in current affairs, willingness to learn, have a gift of curiosity and have exceptional computer skills - do well with our organization.
Qualities we look for in a candidate are: integrity, analytical skills and sense of humor. We train you for everything else.
Other Duties
Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.
Benefits
A positive and family-oriented culture
Company pays 100% of medical, dental, life, and accident insurance
Additional insurance offered: Long-Term Disability insurance, Short-Term Disability insurance, vision insurance, critical illness, and additional voluntary life insurance
401 (k) plan with company matching
Who are we?
Our Company, S.S. White Technologies Inc., is an internationally renowned manufacturer of aerospace, automotive and orthopedic surgical tools. Founded in 1844, we are one of the oldest manufacturing companies in the United States. Our Company’s products are displayed in Smithsonian. S.S. White products are used in 98% of aircraft flying today, numerous surgical instruments, cutting-edge industrial applications, millions of automobiles, on the space station and have even gone to the moon! We are a privately-owned global company with manufacturing facilities in the US, UK, and India. Today, under the leadership of our President/CEO Rahul Shukla, S.S. White is known as the number one technological leader in the world for flexible shaft products.
Our Team
We have a reputation for being an innovative, honest, and progressive company that deeply cares for its employees. At S.S. White, we believe that our success is a testament to the commitment and excellence of our team. We are a group of hard-working, honest, ethical and fun-loving people. We believe in working hard and playing hard. If you are a broad-minded, receptive, flexible, and intelligent person who relies on logic to make decisions, reads, and stays up-to-date on current affairs, you will most likely complement our team.
Are you the person we are looking for?
Apart from the superb professional qualifications and the outstanding achievements, we are looking for fun-loving people with interesting hobbies. If you think you fit this profile, please write us an email. Tell us why we should hire you. Tell us something interesting about you that is relatively unique, something that shows us you are fun and interesting and an original thinker.
S.S. White is an EEOC compliant employer."
2,2,Mechanical Engineer,Automotive Manufacturers Pvt. Ltd,"Dundee, MI",https://www.indeed.com/company/Vidorra-Consulting-Group/jobs/Mechanical-Engineer-ab387813325d9962?fccid=4d7e388476423847&vjs=3,None,$35 - $40 an hour,"Description:
The Mechanical Engineer – Intermediate will be responsible for the design, development and release efforts for automotive components from inception to production. The Mechanical Engineer – Intermediate will be involved with current production components in addition to future development programs. Responsibilities will include, but not limited to:
Design vehicle components from concept and prototype build levels to production, including characteristics from Lessons Learned in other programs and the COE engineering requirements.
Develop statement of work/source package for the component supplier.
Assess component suppliers to determine their technical competence to manufacture the component.
Develop DFMEA’s to identify potential failure modes and DVP&Rs to ensure that functional objectives are met by the component design and validation is completed.
Design the component for manufacturability and assembly, as well as work with other Product Engineers with interfacing components and systems.
Participate in post-test reviews including failure analysis, and work closely with suppliers and manufacturing plants to ensure that design changes are robust and feasible for manufacturing.
Lead global cross functional teams to develop parts which meet all regions requirements.
Define “No Touch” zones on the components during assembly.
Critique the manufacturing equipment and functions on the supplier floor with Supplier Quality engineer.
Assess near production level parts, material dunnage and line delivery plans with the global teams, including the suppliers.
Track warranty items, work with supplier quality personnel to address manufacturing and quality concerns.
Deliver all functional and manufacturing aspects for the component.
Requirements:
BS degree in Mechanical Engineering from an ABET accredited university
3-5 years plus related experience with mechanical engineering component design
Good communication, presentation and technical report writing skills (comfortable interfacing with business partners of all levels).
Engineer must be experienced with basic PC software (e.g. MS Word, Excel, PowerPoint and Project)
Good teamwork skills, ability to work independently and to manage suppliers
Knowledge of releasing process, DFMEA’s, DVP’s and root cause analysis methodologies.
Preferred Requirements:
MBA or Master of Science in Applied Physics, Mechanical, Electrical, Aerospace, Industrial, or Computer Engineering, or related Engineering field from an ABET accredited university
Passion for, interest in and hands on working knowledge of cars
Experience releasing components at an OEM or large Tier 1 company.
Demonstrated experience in supplier management.
**Positions will start with training on 1st or 2nd shift and will move to 3rd shift permanently beginning in March/April 2021**
Job Type: Full-time
Pay: $35.00 - $40.00 per hour
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Mechanical Engineering: 4 years (Preferred)
Work Location:
One location
Work Remotely:
No
Speak with the employer
+91 947-777-2032"
3,3,Licensed Mechanical Design Engineer,Dome Technology LLC,"Idaho Falls, ID 83401",https://www.indeed.com/company/Dome-Technology-LLC/jobs/Licensed-Mechanical-Design-Engineer-f109d20b80c7174c?fccid=e2eff6655f60973d&vjs=3,None,"$71,000 - $81,000 a year","Looking for a licensed P.E. with 5 years experience minimum in mechanical engineering.
Pneumatic transport, dust collection, conveyance, transfer points, rail systems, truck loading, ship loading/unloading.
Job Type: Full-time
Pay: $71,000.00 - $81,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Flexible spending account
Health insurance
Life insurance
Paid time off
Retirement plan
Vision insurance
Schedule:
10 hour shift
Monday to Friday
Education:
Master's (Preferred)
Experience:
Mechanical Engineering: 5 years (Preferred)
License/Certification:
Professional Engineer (Required)
Work Location:
One location
This Company Describes Its Culture as:
Aggressive -- competitive and growth-oriented
Company's website:
www.dometechnology.com
Company's Facebook page:
https://www.facebook.com/DomeTechnology/
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No"
4,4,Mechanical Engineer,Vest Professional,"Kansas City, MO",https://www.indeed.com/company/Vest-Professional/jobs/Mechanical-Engineer-8e6320c82df389cc?fccid=29b111afc1a8126f&vjs=3,3,"From $70,000 a year","In this role you will use engineering methodologies to design, optimize, and validate mechanical and electromechanical systems for use in medical instrumentation and related equipment. Responsibilities include research, prototyping, development, validation, transfer to manufacturing and product support. The engineer will need to ensure compliance with specifications, codes and customer requirements.
Essential Functions & Responsibilities
Provide reliable, timely, and cost-effective solutions to a variety of problems using sound problem solving techniques, engineering tools and creativity
Make estimates on tooling, part cost and design time for new parts
Initiate purchase requisitions, build, fabricate and assemble prototype electromechanical components, sub-assemblies and instruments for physical testing
Create models and drawings for new parts
Experience in SolidWorks
Write or execute test plans to validate parts and/or systems
Write or update standard operating procedures, manuals, and presentations for new and existing products.
Educational and Skill Set Requirements
Bachelor of Science or Master of Science Degree in Mechanical Engineering or related field
Ability to organize and coordinate multiple projects simultaneously, prioritizing tasks as needed
Initiative to start and complete tasks independently and within a team
Advanced working knowledge of CAD and Microsoft Office software: Excel, Word, PowerPoint
Experience with SolidWorks
Job Type: Full-time
Pay: From $70,000.00 per year
Benefits:
Dental insurance
Health insurance
Paid time off
Schedule:
8 hour shift
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Mechanical Engineering: 1 year (Preferred)
SolidWorks: 1 year (Required)
Benefit Conditions:
Waiting period may apply
Work Remotely:
No"
5,5,Senior Engineer - Suspension Design,Faraday Future,"Gardena, CA 90248",https://www.indeed.com/company/Faraday-Future/jobs/Senior-Engineer-dcf3ab1219bc5775?fccid=8e495da16518a264&vjs=3,3.5,"From $115,000 a year","Position: Senior Engineer – Suspension Design
The Company:
Faraday Future (FF) is a California-based mobility company, leveraging the latest technologies and world’s best talent to realize exciting new possibilities in mobility. We’re producing user-centric, technology-first vehicles to establish new paradigms in human-vehicle interaction. We’re not just seeking to change how our cars work – we’re seeking to change the way we drive. At FF, we’re creating something new, something connected, and something with a true global impact.
Your Role:
As a Senior Engineer on the Chassis team, you’ll be working with some of the industry’s brightest minds to create, develop, refine, and launch world class suspension systems on world class vehicles for the modern age. Basically, you’ll be a major contributor within the team that ensures Faraday’s cars ride, handle and perform as well as they look.
Responsibilities:
Facilitate extended handover to full time replacement for all component group responsibilities
Design of new parts and systems from concept level through to production release.
Redesign existing parts for improved performance, quality and manufacturability.
Generate new shock absorber/suspension concepts to advance technology portfolio.
Participate/lead creative brainstorming sessions to solve technical challenges.
Analyze quality issues for failure root causes and implement corrective actions.
Analyze lab and field test results to determine best path forward.
Perform advanced engineering calculations and analysis.
Create 3d models, 2d prints and FEA reports in CAD utilizing design standards, best practices & GD&T
Basic Qualifications:
BS in Mechanical Engineering or related study.
5+ years of experience in engineering of lightweight, metallic structures
Well versed in chassis architecture strategies and global regulations (e.g. FMVSS, GB)
Top-notch skills with CATIA V5+, GD&T, and component and system DVP&R
Strong familiarity with linear finite element analysis tools including hand calculations
Preferred Qualifications:
Proven expertise with compressed timeline launches and design for mass production followed through from concept to serial production launch.
A diverse skillset including familiarity with structural component design as well as complex assembly designs including steel, aluminum, plastic, composites and hybrid constructions.
A wide range of experience with simulation software including, ANSYS, Nastran, HyperWorks/ Optistruct
Proficiency in crash and/or dynamic road loads analysis (e.g. ADAMS, Motionsolve)
A creative curiosity, collaborative ethic, hardworking enthusiasm, and a driving personal vision
Excellent communication skills and team-working tendencies
Job Type: Full-time
Pay: From $115,000.00 per year
Benefits:
401(k)
Dental insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Paid time off
Professional development assistance
Relocation assistance
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Supplemental Pay:
Bonus pay
COVID-19 considerations:
We follow strict CDC, State and County guidelines to ensure the healthy & safety of all our employees. We temperature check upon arrival, masks are required throughout the facilities, we have hand sanitizing stations and provide protective eye wear.
Education:
Bachelor's (Required)
Experience:
engineering lightweight, metallic structures: 5 years (Preferred)
CATIA V5+: 3 years (Preferred)
linear finite element analysis tools: 3 years (Preferred)
simulation software including ANSYS, Nastran, HypeWorks: 5 years (Preferred)
crash and/or dynamic road loads analysis: 3 years (Preferred)
Work Remotely:
Yes, temporarily due to COVID-19"
6,6,Mechanical Engineer,"RAFI USA, Inc.","Lynnwood, WA 98037","https://www.indeed.com/company/RAFI-USA,-Inc./jobs/Mechanical-Engineer-1a1bc1a33111e544?fccid=9d5e95b8a3c599b3&vjs=3",None,"$65,000 - $75,000 a year","Mechanical Engineer
Job Description
Responsibilities:
Designing for manufacturing & assembly and execute production readiness builds.
Implements new or existing technologies in global factories.
Provides in-depth knowledge for problem solving and or productivity activities linked to manufacturing processes and equipment, and product mechanical technologies.
Provide cross-site best practices and learnings.
Providing root cause analysis of design, process and quality issues found during new product introductions or design transfers.
Designing and implementing production test fixtures, assembly jigs and tools.
Creating new, and update existing process documentation.
Performing and documenting qualification tests for new parts and processes.
Providing training and technical support as required to enhance the skills of other engineers, technicians and operators.
Performing other duties as required to support the needs of the business.
Requirements
BS or MS in mechanical engineering.
Work experience developing parts and product assembly processes.
Strong interpersonal and communication skills required.
Methodical, effective troubleshooting/problem solving skills required.
Experience with CAD, Creo Parametric preferred.
Experience with plastics, sheet metal design & processing methods preferred.
Working knowledge of Design Failure Mode and Effects Analysis (DFMEA) & Process Failure Mode and Effects Analysis (PFMEA) required.
Three plus years of experience in an engineering environment.
Experience with Microsoft Office tools required.
Additional skills that are preferred:
Working knowledge of Supply Chain/Manufacturing principles.
Working knowledge of Mechanical & Industrial Engineering tools and Lean Manufacturing principles preferred.
Excellent organizational and time management skills preferred.
Experience with FDA regulated medical device manufacturing in a Lean production environment preferred.
Experience working with suppliers to resolve technical issues preferred.
Job Type: Full-time
Pay: $65,000.00 - $75,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Mechanical Engineering: 3 years (Preferred)
Work Remotely:
No"
7,7,Mechanical Engineer (SHUKLA Medical,"SS White Technologies, Inc.","Saint Petersburg, FL 33709",https://www.indeed.com/rc/clk?jk=4cae9c073b081347&fccid=af3192ab9488de5c&vjs=3,None,"$45,000 - $70,000 a year","Job Description
Mechanical Engineer
Company: S.S. White Technologies Inc./SHUKLA Medical
Location: 8300 Sheen Drive, St. Petersburg, FL 33709
Job Type: Full-time, Regular
Business Hours: 8:00 AM - 4:30 PM, Monday - Friday
Career Level: 2+ Years of Experience
Salary Range: Commensurate with Experience
Our Products: Orthopedic Extraction Tools
Responsibilities
Read and interpret blueprints, technical drawings, schematics, and computer-generated reports
Research, design and evaluate mechanical products, equipment, systems or processes to meet customer requirements
Implement operating procedures, resolve system malfunctions, and provide technical information about mechanical products
Develop and coordinate all aspects of production, including selection of manufacturing methods, creating inspection plans, writing work instructions etc.
Identify gaps in the processes, perform root cause analysis and place corrective actions
Qualifications
Excellent academic record
Keen interest and understanding in the basics of product design and mechanics
Training in CAD software with some exposure to FEA
Good knowledge of principles of statistics
Excellent verbal and written communication skills
Demonstrable ability to be ‘hands-on’
Excellent computer skills with exposure to database/VB programming a plus
BS, MS, or PhD in Mechanical Engineering
Candidates who like to read, have interest in current affairs, willingness to learn, have a gift of curiosity and have exceptional computer skills - do well with our organization.
Qualities we look for in a candidate are: integrity, analytical skills and sense of humor. We train you for everything else.
Other Duties
Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.
Benefits
A positive and family-oriented culture
Company pays 100% of medical, dental, life, and accident insurance
Additional insurance offered: Long-Term Disability insurance, Short-Term Disability insurance, vision insurance, critical illness, and additional voluntary life insurance
401 (k) plan with company matching
Who are we?
Our Company, S.S. White Technologies Inc., is an internationally renowned manufacturer of aerospace, automotive and orthopedic surgical tools. Founded in 1844, we are one of the oldest manufacturing companies in the United States. Our Company’s products are displayed in Smithsonian. S.S. White products are used in 98% of aircraft flying today, numerous surgical instruments, cutting-edge industrial applications, millions of automobiles, on the space station and have even gone to the moon! We are a privately-owned global company with manufacturing facilities in the US, UK, and India. Today, under the leadership of our President/CEO Rahul Shukla, S.S. White is known as the number one technological leader in the world for flexible shaft products.
Our Team
We have a reputation for being an innovative, honest, and progressive company that deeply cares for its employees. At S.S. White, we believe that our success is a testament to the commitment and excellence of our team. We are a group of hard-working, honest, ethical and fun-loving people. We believe in working hard and playing hard. If you are a broad-minded, receptive, flexible, and intelligent person who relies on logic to make decisions, reads, and stays up-to-date on current affairs, you will most likely complement our team.
Are you the person we are looking for?
Apart from the superb professional qualifications and the outstanding achievements, we are looking for fun-loving people with interesting hobbies. If you think you fit this profile, please write us an email. Tell us why we should hire you. Tell us something interesting about you that is relatively unique, something that shows us you are fun and interesting and an original thinker.
S.S. White is an EEOC compliant employer."
8,8,Electro-Mechanical Support Engineer,"Global Interconnect, Inc.","Pocasset, MA 02559","https://www.indeed.com/company/Global-Interconnect,-Inc./jobs/Electro-Mechanical-Support-Engineer-1b6b4912b02bb462?fccid=8a6411fa7ebfb4ed&vjs=3",None,"$62,000 - $82,000 a year","Electro-Mechanical Support Engineer
You’ve been pursuing a career in Engineering to leverage your years of education and hard work. You aspire to put all that you have learned and accomplished to work and leverage it to solve complex and real world challenges - you simply can’t get engineering out of your blood. You maintain tireless curiosity on the inner workings of electro-mechanical assemblies and the desire to figure out how they work. You love rolling up your sleeves and solving problems – this is the satisfaction that fulfills you!
The time has come to make your move. You’re looking to join a respected and well- established organization that’s going to elevate your professional career and help you achieve your goals. Best of all, with an organization that is presented with vast new business opportunity and tremendous upside potential. We’re only on this Earth once so why work for an employer that doesn’t value your contributions or is limiting your full potential.
If you want to make an impact and push your engineering talents to another level while helping an organization achieve its ambitious growth plans – we want to talk to you!
Why is Global Interconnect, Inc. (GII) interested in hiring a Electro-Mechanical Support Engineer?
GII has ambitious growth goals and is committed to doubling the size of the organization in the next 5 years. The opportunity is extremely ripe for the right candidate to be a key contributor to this growth.
With a robust product development and engineering process, Global Interconnect needs to add another engineer to its Team.
About GII
Global Interconnect, Inc. is a design, engineering, and manufacturing firm with headquarters in the US and offices in Hong Kong and China. Our niche and primary focus is providing custom connectors, cable assemblies, and sub-assemblies of unparalleled quality for medical device and high-end industrial
OEM’s. These end devices and instruments are used around the world impacting, improving and in many cases saving lives each and every day. (Check us out at https://www.globalinterconnect.com)
Job summary
As a key member of the Engineering Team this individual will have the following main responsibilities
1. Provide engineering support to sustaining and mature product lines in the way of engineering change orders, drawing/specification development and/or maintenance
2. Lead manufacturing and quality engineering efforts in troubleshooting and failure analysis of defective/rejected product as well as provide disposition support while working with multiple cross functional teams (e.g., Quality, Program Management, Outside Sales, etc.)
3. Participate in meetings with customers to provide engineering input, findings, solutions and support in conjunction with members of other cross functional teams
4. Work with multiple cross functional teams (Quality, Program Managers, Manufacturing, etc.) to create First Article reports, Qualification and Test Plans, and other related customer deliverables
5. Provide support and engineering input to Corrective Action Reports/Requests (CARs) and Supplier
Corrective Action Reports/Requests (SCARs)
6. Assist in the development and management of product cost reduction proposals and strategies
7. Provide engineering and technical input on an ad hoc basis to new product development and launch activities
Requirements and skills
Honest and genuine
Ability to establish relationships
Available for full-time employment
1-3 year engineering experience
Bachelor’s degree in Mechanical Engineering or similar
Outstanding communication skills; phone and email is crucial
The ability to handle pressure and meet deadlines
Excellent time management and organization skills
Creative talents and the ability to solve tough problems
Attention to detail
Team player but capable of being independent
Basic knowledge of the product design process from inception through manufacturing
3D Cad experience. Preferred SolidWorks
2D Cad experience a plus but not necessarily a requirement
Understanding of plastic insulator materials as well as electrical wire insulating jacket materials including electrical and mechanical properties
Basic background in the following
Electro-mechanical engineering
Creating and modifying engineering drawings/specifications
Technical report writing and data formatting
Metrology (mechanical and electrical measurements)
Root cause analysis
Engineering statistics (minitab)
If interested in exploring this exciting opportunity, we are eager to speak with you!
Job Type: Full-time
Pay: $62,000.00 - $82,000.00 per year
Benefits:
401(k)
401(k) matching
Disability insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Retirement plan
Tuition reimbursement
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Education:
Bachelor's (Preferred)
Experience:
Mechanical Engineering: 1 year (Preferred)
Work Location:
One location
Company's website:
www.globalinterconnect.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
Yes, temporarily due to COVID-19
COVID-19 Precaution(s):
Remote interview process
Social distancing guidelines in place
Virtual meetings"
9,9,Administrative Specialist (Mechanical and Material Engineering),Florida International University,"Miami, FL",https://www.indeed.com/rc/clk?jk=650fb168d75faea1&fccid=9d7d68aaaf164604&vjs=3,4.3,"$37,000 - $42,000 a year","Under minimal supervision this position is responsible for the coordination and management of administrative activities for a research project. Exercises considerable discretion and independent judgement to interpret policy and procedures and to answer complex questions. Requires thorough knowlege of office practices and procedures in order to perform complex administrative support duties, assists the Principal Investigator and co-investigator.
Oversees and facilitates specific project activities including but not limited to coordination of research meetings, lab purchases, prepare monthly research and budget reports, and assist in any administrative related activities.
Serves as University Credit card holder for School transactions. Adheres to University credit card policies and procedures. Maintains record of requisitions, and credit card transactions in the format established by the Budget Manager. Provides details on transactions as needed for account reconciliation, budgeting and reporting purposes. Interprets, monitors, and analyzes information regarding policies and procedures.
Assist Principal Investigator and researchers with required Travel arrangements following FIU policies.
Prepares presentation materials for use by the Principal Investigator, senior researchers and other faculty working on the project, editing content and adding appropriate graphic and design elements.
Composes and/or prepares correspondence, memoranda, promotional materials, forms, meeting minutes, and reports using appropriate word processing and spreadsheet tools.
Maintains and monitors project's budget and financial data following the projects spending plan. Provide monthly updated expenditures to the Principal Investigator.
Performs basic statistical calculations on data for monthly reports and presentations.
Plans and arranges special events and related research activities for the project.
Coordinates and track activities related to project work such as required trainings for project participants.
Networks to build campus relationships to expedite work, projects and administrative duties.
Serves as primary contact and/or resource to outside parties, such as vendors, government agencies, and other Universities research partners.
Initiates and coordinates all personnel and procurement transactions for the research project.
Works directly with Project's Principal Investigator to perform other related duties incidental to the work described herein.
Performs related duties as required or as directed. The omission of specific duties does not preclude the supervisor from assigning duties that are logically related to the position.
Minimum Qualifications
High school diploma or GED and six (6) years of office or related experience coordinating functions of an office or department.
Job Category
Administrative
Advertised Salary
$37,000-$42,000

Work Schedule

Begin time: 8:30 AM
End time: 5:00 PM
Pre-Employment Requirements
Criminal Background Check
Fingerprinting Check
Other Information
This is a time limited appointment which may be terminated at anytime with 30 days' notice
How To Apply

Prospective Employee
If you have not created a registered account, you will be asked to create a username and password for use of the system. It is recommended that you provide an active/valid e-mail account as that will be the main source of communication regarding your status within the process. In this account, you are able to track your applicant status in ""My Applications"".
In order to be considered eligible for the position as an internal candidate, departmental staff must meet minimum requirements of the position, be in good performance standing, and have been continuously employed at the University for at least six months.
Before you begin the process, we recommend that you are prepared to attach electronic copies of your resume, cover letter or any other documents within the application process. It is recommended that you combine your cover letter and resume/curriculum vitae into one attachment. Attached documents should be in Microsoft Word or PDF format. All applicants are required to complete the online application including work history and educational details (if applicable), even when attaching a resume.
This posting will close at 12:00 am of the close date."
