Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
C# Web App Developer,-1,"Job Summary

We are seeking an experienced and motivated Web Designer/Developer to help us create compelling, scalable, and creative web applications. This developer will need real-world experience implementing custom web applications in Node.js and Angular.js, and ideally experience with other frameworks like React, since we constantly evaluate new tools and technologies so we can build solutions to fit our clients' needs.

Competencies:

Strong presentation and meeting skills to describe designs and interaction to both technical and business audiences
Accurate and thorough in design work
Ability to consolidate large amounts of information in a persuasive visual experience
Demonstrate creative, technical and analytical skills
Flexible and adaptable with the ability to learn quickly in various technical and creative environments, while delivering quality work.
Advanced design skills that can support a diverse array of marketing objectives
Ability to scope projects and determine both design and development needs
Strong organizational skills with the ability to handle/coordinate multiple projects simultaneously within timelines
Speak clearly and persuasively in challenging situations
Excellent communication skills as defined by proper grammar, spelling and context in written documents and proper tone and tactful word choice to promote respectful and collaborative team environment
Strong sense of design with visual appeal
Flexibility to work overtime

Education and Experience

4+ years as a professional web/interactive designer/developer
Bachelor's degree in web design or similar field (or equivalent experience)
Expert knowledge in HTML (includes hand coding in HTML)
Expert knowledge or HTML editors
Expert CSS skills
Intermediate to Expert Javascript/Jquery skills
Strong knowledge of UI and interactive design skills
Strong knowledge of user interface design and usability, in addition to a strong knowledge of color, layout, design principles, and typography",4.6,"CarShield
4.6","O'Fallon, MO",-1,1001 to 5000 Employees,2005,Company - Public,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,-1
Web Developer,-1,"JOB SUMMARY: The Digital Marketing Specialist plays a key role in the successful planning and implementation of multi-channel marketing strategies for LifeBridge Health. This position will help create innovative ideas that tie web, mobile, email, search, social and traditional advertising together to provide solutions based on consumer insight and data.

REQUIREMENTS: Basic professional knowledge; equivalent to a Bachelor's degree; working knowledge of theory and practice within a specialized field; 5-7 years experience; Microsoft Office Suite; Basic computer skills; Standard office equipment; HTML, CSS, Javascript, SEO techniques; Email marketing; Proven experience in digital marketing; Analytics; Critical thinking skills.

Location: LifeBridge Health, Inc. · MARKETING
Schedule: Full-time, Day shift, 8:00AM-4:30PM",3.1,"LifeBridge Health, Inc.
3.1","Owings Mills, MD",-1,10000+ Employees,1998,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1
Web Designer/Developer,-1,"Web Designer / Developer
Immediate opening* for a motivated, focused individual that likes to work with a team and take lead on projects. The web designer will be responsible for being involved with client meetings, providing approach and UI/UX best practices as well as, leading the development of a new website. They will have to be capable of building out a website from start to finish within WordPress, HubSpot CMS, or similar CMS. This person must be a designer by trade but, understanding some code is a plus. They would develop a layout according to desired specifications, SEO standards, and work independently. Be capable to design the site, develop CSS, JS, JQuery, establish the layout structure, added enhancements, and be able to publish to completion. Attention to detail is a must and a keen creative eye necessary.
Our ideal qualified candidate must have *3-5 years of experience* in web design, web development, or web management. Must also possess qualities like leadership, independent thinking ability, a great attitude, and a strong work ethic. Must have exemplary knowledge of Adobe Creative Suite tools with an emphasis on web design as well as the ability to contribute on all digital projects from banner ads to the development of large websites. HTML5, CSS3, WordPress (and other CMS understanding), Javascript competencies are HUGE assets and preferred! If you possess a great sense of creativity and like to work in a fast-paced environment, please apply! *Send your cover letter, portfolio links or attachments, and resume.*
A bachelor’s degree in web design, web development, graphic design or equivalent in experience
Creative, imaginative, and action-oriented approach to all tasks
Work with project management software and processes
Be receptive to critiquing and input on development
Experience with responsive HTML/HTML5, CSS, JavaScript, jQuery, PHP, .NET
Great communication skills and UI design practices
Passion for design, UI and UX best practices
Experience with SEO standards to apply to websites
WordPress development experience
Knowledge of other CMS platforms a plus
Positive, enthusiastic, energetic, detail-oriented, and self-motivated
Ability to learn quickly and take ownership of tasks, process, and products
Ability to thrive in a fast-paced environment and adapt to shifting priorities
A collaborative spirit, working closely with both internal and external teams to efficiently achieve the best possible solutions for common goals
Job Type: Full-time

Benefits:
Dental insurance
Health insurance
Life insurance
Paid time off
Referral program
Vision insurance
Schedule:
Day shift
Monday to Friday
Supplemental Pay:
Bonus pay
Commission pay
COVID-19 considerations:
Interviewing would take place in person in a large room with a mask required.

Experience:
Web Design: 3 years (Required)
Work Location:
One location
Work Remotely:
Temporarily due to COVID-19",1.0,"PALO Creative
1.0","Boardman, OH",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Director of Web Development,-1,"Summary/Objective(s)

Handle the short, medium, and long-term Web Development goals by living and breathing core values while developing leaders and teams to make the Websites thrive. Responsible for providing guidance to the web departments by evaluating and developing strategic plans to accomplish company goals. Communicate plans with those involved to complete goals, and work with the Marketing and Operations department to complete strategies and optimize workflow. Teach, learn, and maintain management system amongst the Web teams.

Essential Functions
Oversee Web Development plans for all websites in the Enthusiast Enterprise
Build monthly strategic plans with and measure success of each plan
Facilitate completing yearly strategic project plans
Planning, directing, and coordinating Ops, Marketing, and Web efforts
Continuous improvement on standardizing processes and documenting
Develop promoting leads and managers to build structure in the development teams
Run daily meeting with development leadership team and root cause issues and put solutions in place
Competencies
Ability to multitask
Ability to solve problems quickly and effectively
Technical Knowledge of site hierarchy
Ability to Lead team in-line with company goals
Highly Organized
Communication Proficiency
Time Management
Coaching/Development
Handle High-Stress Situations Effectively
Supervisory Responsibility

This position is responsible for managing the web developer team

Physical Demands

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.

While performing the duties of this job, the employee is regularly required to talk or hear. The employee is frequently required to stand; walk; use hands to finger, handle or feel; and reach with hands and arms; with occasional lifting.

Position Type/Expected Hours of Work

This is a full-time position. Days and hours of work are Monday through Friday, 9 a.m. to 5 p.m.

Expectations
Onsite
Track your own hours both honestly and accurately
Education
High School Graduate or General Education Degree
Experience
Experience leading and managing a team
High experience in PHP, MySQL, HTML, and CSS
High experience in project management and the Agile methodology
Strong personal skills in coaching and developing teams
Certificates & Licenses
None
Requirements
Adequate knowledge of relational database systems, Object Oriented Programming and web application development
Excellent programming knowledge
Ability to type over 55 adjusted words per minute
Proven working experience in web programming and leading teams
Other Duties

Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible spending account
Health insurance
Paid time off
Retirement plan
Vision insurance
Schedule:
Day shift
Monday to Friday
Supplemental Pay:
Bonus pay
Company's website:
www.sdwheel.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",4.2,"SD Wheel
4.2","Appleton, WI",-1,51 to 200 Employees,2003,Company - Private,Automotive Parts & Accessories Stores,Retail,Unknown / Non-Applicable,-1
Software Developer - Web,-1,"Software Developer - Web
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Uncover your full potential in a collaborative environment where you'll design, develop and deliver custom solutions to big challenges. And you'll be doing it for a proven industry leader that runs one of the largest e-commerce sites in the U.S.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Design and develop multitier web applications for customers and internal users using ASP.NET, MVC, SQL, JavaScript frameworks and jQuery.
Enhance and support e-commerce and mobile sites as well as sales, intranet and web applications that support business activities.
Design, develop, maintain and enhance systems based on business requirements using approved technologies and coding standards.
Monitor and optimize systems to ensure best performance.
Perform unit testing using tools like MSTest, NUnit and Jasmine and mocking frameworks like Moq.
Document code appropriately for maintainability.
Communicate with product owners and business analysts to gather accurate specifications for new enhancements and applications.
Assist with work estimating based on requirements and technical designs.
Translate requirements and use cases into technical designs and functional code.
Collaborate with different teams and team members on projects.
Act as a mentor to other developers with programming issues.
Perform design and code reviews and help maintain code quality, performance and application responsiveness.

Minimum Requirements
Bachelor's degree in information technology, computer science or related field.
5+ years web development experience.
Strong understanding of object-oriented design, web application architecture and relational database design.
Proficient in ASP.NET, MVC, C# and JavaScript with solid understanding of their ecosystem.
Experience using T-SQL with an ability to write SQL queries and stored procedures.
Client-side scripting experience with JavaScript frameworks, such as Angular and jQuery a plus.
Experience with Microsoft Visual Studio (MVS) and SQL Server Management Studio (SSMS).
Experience using Team Foundation Server (TFS) for work management a plus.
Proficient understanding of code versioning tools like Git and CI/CD tools like Jenkins.

Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.

Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.

About Uline

Uline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.

Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

Unfortunately, Uline is unable to offer US work sponsorship at this time.

EEO/AA Employer/Vet/Disabled

#LI-SN1
#ZR
#CORP",3.6,"Uline
3.6","Pleasant Prairie, WI",-1,5001 to 10000 Employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,-1
Web Marketing Engineer,-1,"About SignalQuest: Whit Kelley, CEO*
_At SignalQuest we have a focused, high performing team and a small-company environment well suited for those with personal drive and a desire to contribute to long term innovation. We believe in investing in our team members, empowering them to take personal responsibility for our direction and allowing them the room to create our future. This year we will make about 10 million electronic sensors in Lebanon NH, where our R&D, production, sales and management are located in a historic renovated brick mill building on the Mascoma River._
Overview*
As part of a small and passionate team of engineers, you will be responsible for creating and maintaining web marketing content and strategies for our navigation systems and inertial sensors.

Your contributions will play a key role in commercializing advanced navigation technology and transitioning novel algorithm development from R&D into production.

You should be comfortable working in a fast-paced and often uncertain environment while contributing to innovative solutions, demonstrating personal leadership, technical competence, and attention to detail_._
Responsibilities*
Design, develop and deploy web marketing strategies and content.
Qualifications*
B.S. in Engineering: Electrical / Mechanical / Software / Aerospace, Computer, or Physics with 3+ years of web marketing experience
Proficient hands-on web developer also capable and creative in content development for front end and back end of web sites
Expert with SEO and Google AdWords optimization
Exposure and interest with sensors, control systems, electronics
An ability and desire to develop technical depth and learn quickly on the job
Job Type: Full-time

Pay: $85,000.00 - $140,000.00 per year

Experience:
web marketing: 3 years (Required)
SEO and AdWords: 3 years (Required)
Education:
Bachelor's (Required)
Application Question:
I what ways are you exceptional?",5.0,"SignalQuest, LLC
5.0","Lebanon, NH",-1,1 to 50 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$1 to $5 million (USD),-1
Developer Apex 3,-1,"We are engineers, high line workers, power plant managers, accountants, electricians, project coordinators, risk analysts, customer service operators, community representatives, safety and security specialists, communicators, human resources partners, information technology technicians and much, much more. We are 3,300 people committed to enhancing the lives of the communities we serve. Together, we are powering the growth and success of our community progress every day!

PAY GRADE: 14

Extended to Apply: Open Until Filled

Position Summary

The Developer Apex position is responsible for Oracle APEX/Oracle development and administration of easy to use and intuitive database applications, performance tuning, security, auditing, metadata management, capacity planning, connectivity and other data solutions of mission critical application systems. The developer will participate in all phases of the development lifecycle including requirements gathering, specifications development, design, development, testing, implementation, documentation, training, maintenance, upgrade, migrate, and reverse engineering. Develops applications with APEX, SQL, PL/SQL, stored procedures, triggers, transactional modeling, dimensional modeling, normalization, indexing methods, constraints, object usage, Linux shell script and PowerShell.

Tasks and Responsibilities
Builds and maintains the ongoing operational functionality and efficiency of CPS Energy APEX and Oracle solutions ensuring Development, system performance, availability, reliability, security, recoverability and efficient usage of code and resources.
Formulates SQL (Structured Query Language) queries, functions and processes as per customization requirement for APEX customers.
Supports APEX applications and conducts performance tuning for SQL, PLSQL.
Develops and creates database designs and assists in decreasing response time for APEX reports.
Designs application frameworks and helps develop Oracle APEX Applications.
Provides APEX guidance and support to technical staff on application maintenance and SDLC processes.
Reviews peer code and documents proof of concepts and database schemas.
Performs the capacity planning required to create and maintain corporate APEX applications, databases, and processing demands.
Provides all facets of APEX development, administration, quality assurance, and production systems support.
Provides APEX solutions to solve complex business issues including data processing, data loading, automation improvements, data integrity, and data presentation.
Diagnoses, troubleshoots and resolves APEX application and database related issues including development, performance, availability, data integrity and application security.
Performs and automates APEX application and database management, maintenance and data processing activities.
Develops scripts to perform system maintenance, monitor applications, automate routine tasks, etc.
Performs as a technology subject matter expert for APEX applications database such as Oracle APEX 5/19/20 (Oracle Application Express) administration/Development, SQL Developer, PL/SQL, Toad, modeling tools, etc.
Modifies existing databases and database management systems to make changes with appropriate database objects such as code, forms, indexes, tables, partitions, triggers, constraints, stored procedures, large objects, views, etc.
Works as part of a project team to coordinate APEX database development and determine project scope and limitations.
Trains users, documents systems and answers questions.
Specifies users and user access levels for each segment of APEX application and database. Setup of APEX groups, monitoring, and templates to effectively monitor critical applications.
Reviews project requests describing APEX user’s needs to estimate time and cost required to accomplish projects.
Administers all APEX objects, code, forms, including tables, indexes, views and sequences, packages and procedures.
Evaluates releases of Oracle APEX and it's tools, and third-party products to ensure that the organization is running the products that are most appropriate.
Collaboration with various technical/non-technical resources such as citizen developers, application teams and co-workers regarding project work, POCs (Proofs of Concept) and/or troubleshooting exercises.
On-call rotation is required to support 24/7 environment and is also expected to be able to work outside business hours to support corporate needs.
Performs other duties as assigned.
Minimum Skills
Minimum Knowledge and Abilities
Experience in a Production Oracle APEX ecosystem or higher education equivalent.
Experience in Application Administration/Development using Oracle SQL, PL/SQL, and Developer Oracle Application Express (APEX).
Hands-on experience with Oracle APEX 4.0/4.1/5.0/19/20 (Oracle Application Express) administration/Development.
Proficiency in analysis, design, development, testing, implementation and maintenance of applications in Oracle Application Express (APEX) and client/server configurations.
Skilled in writing SQL queries, Views, Materialized views, PL/SQL procedures, functions, packages, triggers, cursors, collections, Ref cursor, cursor variables, System reference cursor, Dynamic SQL.
Hands on experience in query optimization, performance and tuning (PL/SQL) using SQL Trace, Explain Plan, Indexing, Hints, Bulk Binds, Bulk Collect, Creation of global temporary tables and table partitioning.
Experience in developing External Tables, Joins, Indexes and sequences.
Worked with third party database tools like TOAD and SQL Developer
Excellent knowledge of Oracle APEX 4.0/4.1/5.0/19/20 (Oracle Application Express) administration/Development, Oracle Database, PL/SQL and SQL.
Experience in Database design using Normalization and Entity Relationship Diagrams.
Experience in using built-in database packages (DBMS_SCHEDULER).
Experience in developing forms based on views, tables and procedures in tabular and form layouts.
Experience in developing both web layout and paper lay out reports in various styles based on the user requirements.
Strong knowledge of Extraction Transformation and Loading (ETL) processes using UNIX shell scripting, SQL, PL/SQL and SQL Loader.
Creating users and maintaining their roles and responsibilities.
Experience in writing Technical design documents and developing unit test documents.
Strong ability to organize information, manage tasks and use available tools to effectively contribute to a team and the organization.
Strong communication and interpersonal skills, ability to interact with people at all levels.
Valid Class C Texas Driver's License
Makes independent technical recommendations.
Proficient in Microsoft Office Package, including word processing, spreadsheets, database, presentation software, electronic mail and scheduling
Preferred Qualifications
Master’s degree in Information Systems or related field from an accredited university.
Image Oracle certifications are a plus. Examples include: Oracle APEX Developer Professional, Oracle Autonomous database, Oracle Cloud Infrastructure, Oracle Certified Associate, Oracle Certified Professional.
Utility Industry experience.
NERC (North American Electric Reliability Corporation) background and experience.
Hands on experience with Oracle database administration in UNIX and virtual environments.
Skilled in performing detailed performance analysis and resource utilization of systems.
Proficiency with Oracle backups, restores and recovery models.
Hands on experience with High Availability (HA) and Disaster Recovery (DR) options for Oracle (RAC/Data Guard).
Know-how in migrating code and database changes through the various stages of the development life cycle.
Skilled in troubleshooting and performance tuning skills with Oracle databases.
Experience in project management concepts, tools (MS Project) and techniques.
Hands on experience as technology subject matter expert for at least three versions of relational database management systems such as Oracle 9i, 10g, 11g, 12c, 18c and 19c.
Installation, configuration and administration of Oracle Golden Gate replication that includes troubleshooting of extracts, pump, and replication processes.
OEM (Oracle Enterprise Manager) troubleshooting of database performance tuning and generating reports using Information Publisher and BI Publisher reports.
Skilled in using Recovery Manager (RMAN) and ASM (Automatic Storage Management) for backups and storage management.
Competencies
Demonstrating Initiative
Learning Quickly
Communicating Effectively
Using Computers and Technology
Serving Customers
Minimum Education
Bachelor’s degree from an accredited institution in Information Systems, Computer Science, Electrical Engineering or a related field
Required Certifications
Working Environment
Indoor work, operating computer, manual dexterity, talking, hearing, repetitive motion. Use of personal computing equipment, telephone, multi-functioning printer and calculator. Ability to travel between business related events. Work hours may be extended.
monthly, or more frequently as needed. Overnight travel may be required.
Physical Demands
Exerting up to 10 pounds of force occasionally, and/or a negligible amount of force frequently or constantly to lift, carry, push, pull or otherwise move objects, including the human body.
Jobs are sedentary if walking and standing are required only occasionally, and all other sedentary criteria are met.

CPS Energy does not discriminate against applicants or employees. CPS Energy is committed to providing equal opportunity in all of its employment practices, including selection, hiring, promotion, transfers and compensation, to all qualified applicants and employees without regard to race, religion, color, sex, sexual orientation, gender identity, national origin, citizenship status, veteran status, pregnancy, age, disability, genetic information or any other protected status. CPS Energy will comply with all laws and regulations.",3.4,"CPS Energy
3.4","San Antonio, TX",-1,1001 to 5000 Employees,1942,Other Organization,Energy,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),-1
Software Developer,-1,"Software Developer - Integration*
Immediate Opening!*
A dynamic Akron / Cleveland area company is looking for an experienced software developer. The Integration Developer designs, develops, tests, maintains and enhances multiple systems serving internal users as well as our suppliers and customers. The Integration Developer interacts with IT and other internal business partners to deliver systems that advance company strategy and improve the enterprise capability of IT.
Candidates need to demonstrate experience in the following skillsets: *
· Proven technical expertise in the design, development, coding, testing, and debugging of enterprise software.

· Strong knowledge of web services (WSDL, Soap, Restful).

· Experience working with relational databases.

· Experience authoring and maintaining data access and / or database queries.

· Familiar with standard software design patterns, methodologies, and the MVC architecture.

· Proficient in the following technologies: C#, .NET, .NET Core, HTML5, CSS3, MsSQL, MySQL, ReactJS.

· Experience working with and/or administering Microsoft IIS

· Experience with SYSPRO’s ERP package a plus but not required
Candidates must be able to execute the following functions: *
· Creates and deploys code and configuration associated with support and project work across our application portfolio.

· Assists in creating, evolving and standardizing technical processes such as source code management, continuous integration, etc.

· Submits code and configuration with high levels of quality, performance, security, scalability and extensibility.

· Assists in the creation and evaluation of business requirements and project plans.
Other requirements include: *
· Takes pride in delivering work on time and with quality

· Good problem solving and decision making abilities

· Ability to learn quickly in a fast-paced environment

· Ability to both work independently and with teams

· Effectively juggles a continuous mix of support and project work

· Able to work off hours / provide on-call support when needed

The ideal candidate must be a self-starter, able to work independently, and have experience in the skillsets mentioned above. This position requires a highly responsible and organized individual with a good work ethic and a minimum of two years of experience using the tools and technologies noted above.

Compensation is commensurate with experience.
Industries* - Manufacturing-Other
Education* - Bachelor's Degree in Computer Science, Information Systems, or related field, or combination of education and equivalent work experience.
Job Type: Contract

Experience:
Software development: 2 years (Required)
Work Location:
One location
Work Remotely:
No",3.7,"Reserve Management Group
3.7",Ohio,-1,1 to 50 Employees,-1,Company - Private,Real Estate,Real Estate,$1 to $5 million (USD),-1
Software Developer Lead,-1,"Description:

As one of the fastest growing logistics providers in the country, NSD is a recognized leader in in-home and business delivery solutions. Today, our nationwide delivery network consists of over 200 terminals, ensuring unsurpassed levels of service and an exceptional home delivery experience. We deliver to all U.S. zip codes providing consistent nationwide service and the highest level of brand protection.

Come join our growing team! The Development Lead will be a part of a team working to develop, manage, and architect scalable solutions that further NSD’s strategic goals. This position will be responsible for leading a team of developers, continuously driving improvement in processes, and growing the development team. Technologies will include SQL, RESTful APIs, ETL/ELT, and mobile/web development (HTML, CSS, JavaScript, Vue.js, PHP/Joomla, Django).

Responsibilities

• Take an active role in requirements gathering, solutions design, architecture, development, and deployment of web and mobile products

• Work with Business Technology Office on consumer and internal product requests

• Oversee the development and release of quality code that adheres to best practices.

• Lead, manage, coach, train and motivate a high-performing development team.

• Assist in translating seemingly disparate business processes to the development staff by connecting and streamlining with

technology solutions, often of various disciplines

• Be an active participant in refining and improving development methodologies (Sprint v. Kanban, Agile v. DevOps v. XP, etc.)

• Manage code repositories and ensure disciplined use of code management.

. Requirements:

• 5+ years working as a software engineer lead or solutions architect role

• Proven track record of quality delivery.

• Must have experience with multiple database platforms and a variety of different technologies and coding languages including but not limited to:

DB2, MSSS, MySQL, Postgres, PHP, Javascript, Python, Powershell, SQL

• History of progressive team leadership and peer mentoring

• Demonstrable history of learning the business on which the technology is being developed

• Outstanding time management, organizational and communication skills.

• A passion for getting things done regardless of the roadblock.

EOE M/F/D/V

NOTE: This job description is not intended to be all inclusive, Employee must perform other related duties as negotiated to meet the ongoing needs of organization",2.7,"Nonstopdelivery Com Inc
2.7","Chantilly, VA",-1,51 to 200 Employees,2000,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$50 to $100 million (USD),-1
Sr. Web Developer,-1,"Mobiniti, a leader in the SMS industry, is looking for a talented Sr. Web Developer to join our team. The position operates in a fast-paced, technology-based environment. You’ll need a strong background in LEMP application development and must be comfortable working in a team environment as well as independently at a dynamic and fast-paced B2B SaaS company.

We’re looking for generalists. That doesn’t mean that you already know everything; it means that you’re both willing and able to learn new things quickly. We’re looking for conceptual thinkers. Can you think about problems at a high level and then solve them in code with a constant focus on the higher-level problem you’re solving?

Responsibilities:
Design, develop and maintain PHP based in-house tools and backend systems
Identify sub-optimal code and refactor accordingly
Develop training materials and help documentation for systems created
A sense for quality user experience and UI
Full-stack web application development
Supervise a team of web developers, analyzing areas of weakness, and scheduling training sessions accordingly
Create project specs and project schedules to meet deadlines
Collaborate with the leadership team on the product road map
Communicate effectively with clients and internal teams
Qualifications:
B.S. or M.S. Computer Science or related field
10+ years of experience in web development across full-stack
5+ years of experience as lead developer
Proficiency in PHP/MySQL, JavaScript, VueJS, jQuery, and some front-end development
Experience with AWS (RDS Aurora with MySQL, S3, SQS, lambda)
Experience with Laravel framework
Database experience preferred with some knowledge of working with large databases
Passion for and/or expertise in working on the performance of complicated systems
Experience with the performance of medium to large scale websites a big plus
Experience debugging web browsers, HTML, JS, CSS a big plus
Strong background in software engineering
Experience in system administration (LEMP) including knowledge of security and performance optimization across the stack
Experience building and consuming APIs with a focus on RESTful APIs
Experience working with large databases or something similar
Experience working with version control (preferably GIT)
Compensation:

Salary is based on experience.
Who We Are: *
Mobiniti was founded with an analytical spirit and lofty objective: to help businesses directly communicate with their customers, while delivering experiences that engage and delight them. We believe every business should have the tools we use to bring customers back more often and deliver more marketing revenue than ever before.

Did you know that on average, consumers check their mobile devices more than 150 times a day? How about that 90% of the time, mobile users open text messages within seconds of receiving them? Once we discovered the power of text messaging, we decided to start there. SMS is the perfect way to alert customers to upcoming sales, same-day discounts, contests, new products, or delivery shipment statuses. The possibilities are endless and provide a ton of value to the consumer.

We are trusted with the marketing for Dairy Queen, the Florida Panthers, Harley-Davidson, KFC, and even Adam Carolla to name a few.

Our casual work environment is fun and thrives on problem-solving, energy, teamwork, and performance. We believe in work-life balance and realize the importance of working hard and playing hard.

Our open-floor work environment encourages collaboration, creativity, and growth as individuals and as a company. We provide a casual office setting which includes standing desks, music-filled air, open floor plan, and our Grey Zen room for breaks.

Job Type: Full-time

Benefits:
Paid time off
Schedule:
Monday to Friday
Experience:
Laravel framework: 2 years (Preferred)
PHP: 5 years (Preferred)
Web Development: 10 years (Required)
lead developer: 5 years (Required)
Location:
Wilkes-Barre, PA 18702 (Required)
Work Location:
One location
Company's website:
www.mobiniti.com
Company's Facebook page:
https://www.facebook.com/Mobiniti
Benefit Conditions:
Waiting period may apply
Work Remotely:
Temporarily due to COVID-19",-1,Mobiniti,"Wilkes-Barre, PA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
